City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
329,Itaituba,BR,78.8,-4.2761,-55.9836,Hotel Campos
332,Pianco,BR,73.18,-7.1981,-37.9292,Via hotel
338,Koumac,NC,82.56,-20.5667,164.2833,Le Monitel
339,Kailua,US,75.2,21.4022,-157.7394,Sheffield House Bed & Breakfast
341,Port Keats,AU,87.67,-14.25,129.55,TDC Village (Hundred Man Camp)
348,Madang,PG,85.15,-5.2246,145.7966,Comfort Inn Hotel
355,Puro,PH,83.23,12.4841,123.3827,
356,Villa Carlos Paz,AR,77.0,-31.4241,-64.4978,Monte Carlo
358,Souillac,MU,78.8,-20.5167,57.5167,Shanti Maurice Resort & Spa
360,Nanakuli,US,78.01,21.3906,-158.1547,Camp Pālehua
363,Flinders,AU,87.01,-34.5833,150.8552,Shellharbour Resort & Conference Centre
368,Kupang,ID,84.2,-10.1667,123.5833,Hotel On The Rock by Prasanthi
371,Ampanihy,MG,83.44,-24.7,44.75,Angora Hotel
374,Bambous Virieux,MU,84.0,-20.3428,57.7575,Casa Tia Villa
375,Savannah Bight,HN,78.01,16.45,-85.85,Villa on Dunbar Rock
382,Xuddur,SO,71.44,4.1213,43.8894,Banjanay Hotel
384,Catumbela,AO,70.79,-12.4314,13.5472,Hotel Do Kamgamba
386,Isangel,VU,82.4,-19.55,169.2667,Volcano Sea View Tree House
387,Bowen,AU,86.0,-20.0167,148.2333,Castle Motor Lodge Motel
388,Ambilobe,MG,80.35,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
390,Kanigiri,IN,81.39,15.4,79.5167,Khasim kollafaram center
391,Touros,BR,77.0,-5.1989,-35.4608,INN NEW HORIZON
393,Talara,PE,72.73,-4.5772,-81.2719,Hostal Oro Negro
394,Mana,GF,77.04,5.6592,-53.7767,LE SAMANA
395,Marsh Harbour,BS,72.54,26.5412,-77.0636,Abaco Beach Resort
405,Auki,SB,83.62,-8.7676,160.7034,Auki Motel
406,San Ignacio,BZ,73.0,17.1561,-89.0714,Rainforest Haven Inn
409,Boyolangu,ID,87.49,-8.1181,111.8935,Yos ega cv
410,Moyale,KE,71.62,3.5167,39.0584,La Tahzan Guest House
411,Kudahuvadhoo,MV,82.29,2.6708,72.8944,Niyama Private Islands Maldives
418,Manoel Urbano,BR,71.92,-8.8389,-69.2597,Baixada Beira Rio
419,Inhambane,MZ,84.2,-23.865,35.3833,Oceano
421,Ciudad Bolivar,VE,75.63,8.1222,-63.5497,Hotel Edi
425,Nan,TH,77.0,18.8333,100.6667,สะเนียน2
433,Imbituba,BR,75.2,-28.24,-48.6703,Praia Hotel Imbituba
438,Matara,LK,84.0,5.9485,80.5353,Amaloh Boutique Resort
439,Bethanien,,72.39,-26.502,17.1583,Bethanie Hotel
441,Sawtell,AU,80.6,-30.3833,153.1,Island Beach House Sawtell
443,Hualmay,PE,70.72,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
451,Lusambo,CD,70.29,-4.9667,23.45,
455,Lucea,JM,77.0,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
463,Yarada,IN,78.8,17.65,83.2667,"D-26/2, Dolphin Hill,"
464,San Rafael,AR,81.68,-34.6177,-68.3301,Hotel San Rafael
466,Sena Madureira,BR,71.71,-9.0656,-68.6569,Hotel Central
467,San Luis,AR,78.1,-33.295,-66.3356,Huarpes Hotel
471,Sorong,ID,83.91,-0.8833,131.25,The Waigo Hotel
473,Alice Town,BS,73.35,25.7167,-79.3,Bimini Big Game Club Resort & Marina
475,Byron Bay,AU,82.4,-28.65,153.6167,Backpackers Inn on the Beach
479,Vila Velha,BR,73.4,-20.3297,-40.2925,Hotel Vitória Palace
480,Dindori,IN,77.77,22.95,81.0833,Konark Marriage Garden
491,Sillod,IN,75.2,20.3,75.65,पवन
492,Kathu,TH,86.0,7.9178,98.3332,Novotel Phuket Resort
497,Rodrigues Alves,BR,72.19,-7.7379999999999995,-72.6509,Pousada Aconchego
505,Bahia Blanca,AR,88.0,-38.7196,-62.2724,Hotel Argos
506,Abonnema,NG,76.59,4.7084,6.7931,Corper's Lodge Obonoma
507,Dangriga,BZ,78.01,16.9692,-88.2321,Chaleanor Hotel
508,Acari,PE,72.23,-15.4311,-74.6158,HOSPEDAJE XIMENA
510,Poum,NC,82.51,-20.2333,164.0167,Gîte kajeon
514,Palmas,BR,77.0,-10.2128,-48.3603,Hotel Lago da Palma
518,Ambon,ID,78.8,-3.6954,128.1814,Swiss-Belhotel Ambon
523,Singaraja,ID,84.78,-8.112,115.0882,Puri Bagus Lovina Resort
525,Nisia Floresta,BR,78.8,-6.0911,-35.2086,Rancho Crepusculo
527,Honolulu,US,78.01,21.3069,-157.8583,Aston at the Executive Centre Hotel
530,Pyay,MM,85.57,18.8167,95.2167,Shwe Pyi Thar
531,Hoi An,VN,80.6,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
535,Marawi,PH,82.99,7.9986,124.2928,Derogongan Residence
536,Champasak,LA,82.4,14.75,106.0,Kiat Ngong Wetland BUNGALOW
537,Kapoeta,SS,81.25,4.7717,33.5903,Eastgate Hotel
538,Tautira,PF,82.4,-17.7333,-149.15,Pension Oaoa
543,Neiafu,TO,84.2,-18.65,-173.9833,Mystic Sands
544,Buin,CL,73.0,-33.7333,-70.75,Paihuen
547,Remanso,BR,74.97,-9.6179,-42.0831,Hotel Mangueira
553,Pimentel,PE,71.13,-6.8367,-79.9342,Casona Del Muelle
555,Bandarbeyla,SO,73.87,9.4942,50.8122,JABIR HOTEL
557,Samarai,PG,83.88,-10.6167,150.6667,Nuli Sapi
558,Jutai,BR,72.34,-5.1833,-68.9,
560,Mitsamiouli,KM,75.2,-11.3847,43.2844,Foyer ADM
561,Tecoanapa,MX,76.05,16.5167,-98.75,Hotel Manglares
562,Antalaha,MG,80.94,-14.9003,50.2788,Hotel Vitasoa
565,Bathsheba,BB,77.0,13.2167,-59.5167,Atlantis Hotel
567,Sulangan,PH,81.77,11.1373,123.7228,Maia's Beach Resort
568,Kaohsiung,TW,77.0,22.6163,120.3133,Kindness Hotel
569,Santiago Del Estero,AR,84.0,-27.7951,-64.2615,Hotel Urbano
571,Puerto Escondido,MX,76.42,15.85,-97.0667,Aldea del Bazar Hotel and Spa
572,Kralendijk,BQ,78.8,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
575,Honiara,SB,84.9,-9.4333,159.95,Heritage Park Hotel
576,Mayumba,GA,75.94,-3.432,10.6554,LIKWALE LODGE
577,Port Macquarie,AU,89.01,-31.4333,152.9167,Rydges Port Macquarie
578,Poya,NC,82.24,-21.35,165.15,
581,Orocue,CO,78.73,4.7912,-71.3354,Hotel Brisas de San Miguel
