City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Klaksvik,FO,62.2266,-6.589,35.6,87,100,9.22,light snow
107,Palafrugell,ES,41.9174,3.1631,50.0,76,75,2.3,broken clouds
108,Severo-Kurilsk,RU,50.6789,156.125,18.19,91,85,23.69,light snow
109,Lorengau,PG,-2.0226,147.2712,84.52,65,74,3.6,broken clouds
110,Clemson,US,34.6834,-82.8374,43.0,45,90,3.96,overcast clouds
111,Kodiak,US,57.79,-152.4072,39.2,60,1,19.57,clear sky
112,Longyearbyen,SJ,78.2186,15.6401,12.2,73,75,11.5,broken clouds
113,Massakory,TD,12.996,15.7293,64.38,23,0,10.16,clear sky
114,Leningradskiy,RU,69.3833,178.4167,-17.57,78,0,2.06,clear sky
115,Tupiza,BO,-21.45,-65.7167,54.93,71,16,5.03,light rain
116,Ocampo,MX,21.65,-101.5,57.67,42,76,6.02,broken clouds
117,Atuona,PF,-9.8,-139.0333,77.99,80,10,17.34,clear sky
118,Jamestown,US,42.097,-79.2353,17.6,86,90,4.61,light snow
119,Aksu,CN,41.1231,80.2644,29.25,74,0,3.56,clear sky
120,Faanui,PF,-16.4833,-151.75,81.37,74,1,12.26,clear sky
121,Fort Nelson,CA,58.8053,-122.7002,-2.2,78,90,6.91,light snow
122,Karratha,AU,-20.7377,116.8463,96.01,32,64,18.37,broken clouds
123,Urumqi,CN,43.801,87.6005,14.0,85,20,4.47,light snow
124,Lata,PT,40.1629,-8.3327,51.01,92,72,1.99,broken clouds
125,Kutum,SD,14.2,24.6667,52.07,41,16,3.29,few clouds
126,Makakilo City,US,21.3469,-158.0858,78.01,69,1,11.5,clear sky
127,Teknaf,BD,20.8624,92.3058,75.97,36,7,5.46,clear sky
128,Indian Head,US,38.6001,-77.1622,26.01,53,42,5.99,scattered clouds
129,Dzhebariki-Khaya,RU,62.2167,135.8,-42.02,76,100,2.46,overcast clouds
130,Yanam,IN,16.7333,82.2167,77.0,78,0,3.62,mist
131,Hirara,JP,24.8,125.2833,69.8,56,20,14.97,few clouds
132,Uba,BR,-21.12,-42.9428,66.54,92,45,1.59,scattered clouds
133,Camacha,PT,33.0833,-16.3333,60.8,94,40,3.44,scattered clouds
134,Bethel,US,41.3712,-73.414,21.2,45,1,4.61,clear sky
135,Kahului,US,20.8947,-156.47,77.0,61,40,19.57,scattered clouds
136,Adrar,MR,20.5022,-10.0711,60.4,25,0,9.73,clear sky
137,Mao,ES,39.8885,4.2658,60.8,67,0,19.57,clear sky
138,Namibe,AO,-15.1961,12.1522,75.09,69,99,3.67,overcast clouds
139,Port Hedland,AU,-20.3167,118.5667,102.2,24,68,18.41,broken clouds
140,Khatanga,RU,71.9667,102.5,-24.48,86,100,11.14,overcast clouds
141,Saint-Philippe,RE,-21.3585,55.7679,86.0,62,75,4.61,broken clouds
142,Elban,RU,50.1018,136.5094,5.97,89,100,2.06,overcast clouds
143,Buala,SB,-8.145,159.5921,84.83,65,100,5.59,overcast clouds
144,Cherskiy,RU,68.75,161.3,-24.57,86,100,7.94,overcast clouds
145,Hede,CN,33.7681,120.2517,49.82,72,21,6.8,few clouds
146,Anzio,IT,41.4853,12.6179,54.0,71,100,5.01,light rain
147,Nampula,MZ,-15.1165,39.2666,74.55,93,100,5.95,overcast clouds
148,Vila,PT,42.0304,-8.1588,45.0,95,100,7.0,overcast clouds
149,Mahebourg,MU,-20.4081,57.7,78.8,83,40,7.45,scattered clouds
150,Togul,RU,53.465,85.9128,5.14,94,100,9.15,light snow
151,Maniitsoq,GL,65.4167,-52.9,16.65,77,0,6.04,clear sky
152,Quthing,LS,-30.4,27.7003,74.52,48,59,1.1,broken clouds
153,Iqaluit,CA,63.7506,-68.5145,6.8,78,1,17.27,clear sky
